,address,eth_balance
17784,0xf4f0a17745e45e7ad28b6119728e3cea7c1d3bcd,310.868567359941762
17814,0x4d83aee87d3a900e86f3717c7f67adf327b4278a,310.271011588616778222
17869,0x85edfad95e2952c6583a8d3165c4a160876862e3,309.379392164260988987
17928,0x0e77f06bcf0d79ba3abfd70613492ce4528789c2,308.234075849370167
18100,0xe86ea6881d7cac288631b06cfae7f4f795162f31,304.919309564919629711
18187,0x6e5cd14de0ad04f4012d057acdb01109a8f7b676,303.22956680709
18269,0x5fa485b644fba4335fdabc820752038c0dcb8cdb,302.059017639573914258
18309,0x559439ad6faa77b414ba2313c45ae6a51630e9dc,301.5346715276938345
18320,0x43920deabfe69e948e6db6ecb3fc7041998ad92d,301.434097970653164713
18355,0x434237a8fffd43d559da6878e5383e6646c8a585,301.059914252911187906
18405,0xa3ecc6d990fa582832fa89c71d3df32379f4862d,300.783612992562412
19044,0xb475285e8076c0d130f1e4e981b6e1d9efc7e43d,297.244414975950383702
19055,0xf86c11f0adb979f6fa41e1ef8d713c66447b5dc2,296.9988786
19063,0x75f9f1b1c2d082f328da8a9c9639287b6543e303,296.789210693631039308
19087,0xc43b7017871c611a23366584c487dc3aaf3c09ec,296.20158923989431
19136,0xa0834f835e2311c7385e18ce365b341f54cdb7ed,295.41467979077084852
19155,0xb6ed08f19644e234f4d5dba9c4ffd911b716eef4,294.98605424
19355,0xd3de1c94a6e88dbcdadabe4e917b393cb97de1b9,290.996
19502,0x76bc54fa064a4ce271f4e3161187f2f9ba29eb5e,287.753099339777777777
19513,0x052ac62005c6b018eb46c0de928c00ebbc1758f1,287.47081709
19557,0x08b6192c1cc405d8af5ef4931a62b1338c1aef2e,286.63695792
19583,0x454b5b966d9b57f71f64649261ad4296d53dd39a,286.1197
19635,0xa40320c9c7a31d5edd9e08dd55327adcbe20a0f2,285.157522984408854269
19944,0x38620c8e0ef08ad2dcd940a1c0b3f7905d5ecc5e,279.210649096430918
19948,0xb0fab30fddbc25610872212d4632906afa0e4662,279.161897350716723426
20031,0x3849c628e3dbecdb8ce66c70d53bf75a4ba896b8,277.54651814
20042,0x3bd290c2aca84f2c5b1448b90d3ed015873623ca,277.26798129
20077,0xbfe2d423bf0ab90ec5fa8e0aa1544c5eee47822c,276.5
20185,0x384a0c40651a66cc9e240642364e66c41b3a9ecf,274.524664723881188671
20282,0x4e7a067963b86541574b50b1af58a1e37773e896,272.41447423972734
20363,0x03b2f222ef0a29e3e5c833cbda78bf96be4ca7b8,271.053181920781577254
20400,0xbceb829d1db456e2006099260e224e415beedd12,270.29219467
20504,0x4eebd87ff0ecda471b3af24eaef0aa6bf763d375,268.882380985
20596,0x595f2d7e0d6e7e288bb23d1ef036351fe66fe7d0,267.525364387777777777
20615,0x6e1fdac46555f772eeac084a3f711960cc56793a,267.252764711174784864
20763,0x8c6579e96bf499a7339379071041cffbc4a5c791,264.58676369
20819,0x712d65ed0afdccd8f6aa2179bf13424d4d743e9e,263.524889053471762075
20859,0x919856d75861573722ceba80ba50fb3c5d1ceab8,262.7074207536512686
20894,0x567dfa4d06c4d04448f5703fa0ab82965502433b,261.916130891506303074
20903,0x78a00352a4eecda4ce591a36bd3302b1eb5eec7b,261.813223480591592
20946,0x6dcfb8e1a4c1d9af145b9341afc420e00c261b32,261
21003,0x7baa56b366cf4555eab68d7dd2d2e9e18511e023,260.06574302
